InvoiceNo,CustomerID,Date,ProductCategory,Quantity,UnitPrice,DiscountApplied,ReviewRating,IsFirstPurchase,MarketingChannel,Country,TimeOnSite,ShippingCost,ItemsInCart,PreviousSpending,BrowsingSessions,TotalAmount,,,,,,
INV104297,CUST1461,3/11/2023,Home,12,42.87,0,4,0,Referral,Germany,529.7,15.66,12,306.86,2,530.1,,12,,514.44,0,530.10
INV106046,CUST1932,3/11/2023,Home,6,42.93,5.9,2,1,Ads,USA,401.7,10.34,6,0,2,252.72,,21.19722,,257.58,15.19722,252.72
INV102393,CUST1791,3/11/2023,Clothing,6,55.21,52.8,3,0,Email,USA,30,9.42,7,250.31,2,165.77,,181.90528,,331.26,174.90528,165.77
INV106658,CUST1523,3/11/2023,Clothing,2,15.04,9.4,2,1,Social,USA,100.7,5.7,4,0,1,32.95,,6.82752,,30.08,2.82752,32.95
INV102854,CUST1882,3/11/2023,Clothing,5,48.2,48.6,4,1,Ads,Australia,242.9,8.03,5,0,3,131.9,,122.126,,241,117.126,131.90
INV105556,CUST1443,3/11/2023,Electronics,7,89.35,0,3,0,Ads,UK,173.1,18.08,9,202.86,3,643.53,,9,,625.45,0,643.53
INV104698,CUST1119,3/11/2023,Home,11,58.01,0,3,0,Social,UK,413.9,11.07,14,247.31,4,649.18,,14,,638.11,0,649.18
INV102666,CUST1781,3/11/2023,Sports,12,58.03,38.2,,0,Social,Germany,400.3,9.97,13,361.92,4,440.32,,279.00952,,696.36,266.00952,440.32
INV101541,CUST1564,3/11/2023,Home,8,59.02,20.4,2,0,Referral,Australia,465.2,11.81,8,69.7,1,387.65,,104.32064,,472.16,96.32064,387.65
INV104312,CUST1633,3/11/2023,Clothing,9,20.57,7.9,2,0,Referral,France,264.4,9.18,10,366.65,2,179.68,,24.62527,,185.13,14.62527,179.68
INV102194,CUST1658,3/11/2023,Clothing,11,35.01,0,4,0,Email,USA,442.3,7.78,14,227.82,4,392.89,,14,,385.11,0,392.89
INV108658,CUST1681,3/11/2023,Clothing,10,31.2,0,4,0,Ads,Canada,291.7,13.83,10,405.9,1,325.83,,10,,312,0,325.83
INV103864,CUST1457,3/11/2023,Clothing,6,23.1,0,,0,Referral,USA,170.7,9.21,6,236.29,3,147.81,,6,,138.6,0,147.81
INV108081,CUST1495,3/11/2023,Clothing,40,165.6,51.8,4,1,Organic,France,453.8,8.15,8,0,2,3200.92,,3439.232,,6624,3431.232,3200.92
INV108361,CUST1655,3/11/2023,Electronics,10,84.9,0,,0,Email,USA,323.4,5.58,14,255.92,4,854.58,,14,,849,0,854.58
INV103730,CUST1586,3/11/2023,Electronics,4,131.31,45.7,3,1,Referral,USA,246,7.03,5,0,4,292.24,,245.03468,,525.24,240.03468,292.24
INV107805,CUST1923,3/12/2023,Electronics,5,86.68,40.3,5,0,Organic,USA,191.1,2.17,10,301.38,1,260.91,,184.6602,,433.4,174.6602,260.91
INV106838,CUST1080,3/12/2023,Clothing,12,61.97,46.7,,0,Organic,UK,442,17.21,13,289.27,6,413.57,,360.27988,,743.64,347.27988,413.57
INV108239,CUST1482,3/12/2023,Clothing,7,26.81,0,4,1,Email,USA,,10.5,7,0,1,198.17,,7,,187.67,0,198.17
INV100262,CUST1087,3/12/2023,Toys,5,12.26,0,3,0,Email,USA,87.5,13.15,7,162.07,1,74.45,,7,,61.3,0,74.45
INV107651,CUST1854,3/12/2023,Clothing,5,27.37,37.7,4,1,Organic,France,199.9,7.59,6,0,3,92.85,,57.59245,,136.85,51.59245,92.85
INV107513,CUST1656,3/12/2023,Electronics,10,112.07,24.6,3,0,Email,UK,251,4.32,11,366.83,7,849.33,,286.6922,,1120.7,275.6922,849.33
INV102338,CUST1471,3/12/2023,Electronics,8,67.29,0,5,0,Organic,USA,189.9,17.63,12,324.06,4,555.95,,12,,538.32,0,555.95
INV104066,CUST1583,3/12/2023,Electronics,1,99.16,29.1,3,1,Organic,Australia,30,11.85,1,0,4,82.15,,29.85556,,99.16,28.85556,82.15
INV109104,CUST1092,3/12/2023,Clothing,4,51.74,45.7,5,1,Social,USA,210.8,13.5,5,0,5,125.88,,99.58072,,206.96,94.58072,125.88
INV104150,CUST1714,3/12/2023,Clothing,8,22.5,0,4,0,Social,Germany,212.6,9.52,9,399.11,2,189.52,,9,,180,0,189.52
INV107562,CUST1604,3/12/2023,Sports,2,21.36,0,3,1,Ads,Canada,72.2,10.12,7,0,2,52.84,,7,,42.72,0,52.84
INV102167,CUST1519,3/12/2023,Beauty,11,24.11,7.8,1,0,Referral,USA,436.4,11.19,12,328.56,4,255.71,,32.68638,,265.21,20.68638,255.71
INV102615,CUST1766,3/12/2023,Electronics,6,82.96,9.5,1,0,Organic,USA,115.3,16.11,9,308.12,3,466.58,,56.2872,,497.76,47.2872,466.58
INV100754,CUST1430,3/12/2023,Sports,8,48.9,28.9,4,0,Referral,USA,251.8,19.63,10,178.72,6,297.77,,123.0568,,391.2,113.0568,297.77
INV105661,CUST1177,3/12/2023,Clothing,10,35.35,11,3,0,Ads,France,386,0,10,351.35,1,314.62,,48.885,,353.5,38.885,314.62
INV108522,CUST1784,3/12/2023,Home,5,39.12,0,5,1,Organic,USA,272,2.6,5,0,1,198.2,,5,,195.6,0,198.20
INV106564,CUST1384,3/12/2023,Electronics,9,92.18,0,4,0,Organic,Canada,223.6,12.87,12,259.91,3,842.49,,12,,829.62,0,842.49
INV105093,CUST1868,3/12/2023,Home,11,50.07,0,4,0,Email,USA,398.8,14.72,12,328.85,6,565.49,,12,,550.77,0,565.49
INV105575,CUST1035,3/13/2023,Clothing,9,25.6,0,3,1,Email,Canada,518.4,16.71,10,0,1,247.11,,10,,230.4,0,247.11
INV108152,CUST1234,3/13/2023,Home,13,73.37,24.3,3,0,Ads,USA,514.1,10.7,15,441.6,4,732.73,,246.77583,,953.81,231.77583,732.73
INV107801,CUST1620,3/13/2023,Clothing,11,46.47,42.1,4,0,Ads,UK,435.1,5.94,11,383.82,3,301.91,,226.20257,,511.17,215.20257,301.91
INV102411,CUST1994,3/13/2023,Home,2,32.3,0,3,1,Referral,Canada,30,22.3,2,0,2,86.9,,2,,64.6,0,86.90
INV108369,CUST1414,3/13/2023,Clothing,33,88.34,39.5,4,0,Ads,USA,298.7,10.7,11,539.64,4,1774.41,,1162.5119,,2915.22,1151.5119,1774.41
INV106437,CUST1891,3/13/2023,Electronics,7,133.19,52,,0,Ads,USA,,12.47,9,434.49,4,459.99,,493.8116,,932.33,484.8116,459.99
INV100982,CUST1606,3/13/2023,Beauty,6,33.09,49.1,3,0,Email,Canada,280.9,12.25,8,124.61,1,113.31,,105.48314,,198.54,97.48314,113.31
INV105442,CUST1076,3/13/2023,Electronics,9,182.29,34.4,3,1,Ads,Germany,525.7,7.29,11,0,3,1083.53,,575.36984,,1640.61,564.36984,1083.53
INV103542,CUST1774,3/13/2023,Toys,4,20.13,20.5,4,0,Referral,UK,140.7,9.54,4,48.6,3,73.55,,20.5066,,80.52,16.5066,73.55
INV107439,CUST1927,3/13/2023,Clothing,5,28.86,0,3,1,Email,Germany,290.2,7.23,6,0,4,151.53,,6,,144.3,0,151.53
INV108429,CUST1085,3/13/2023,Sports,15,75.36,16.3,3,1,Email,USA,191.2,8.26,4,0,3,954.4,,188.2552,,1130.4,184.2552,954.40
INV100099,CUST1379,3/13/2023,Clothing,8,40.19,37.7,,0,Organic,France,328.4,11.83,10,186.97,3,212.14,,131.21304,,321.52,121.21304,212.14
INV106182,CUST1900,3/13/2023,Electronics,10,99.68,0,1,0,Email,France,364.3,0,10,349.91,2,996.8,,10,,996.8,0,996.80
INV103228,CUST1510,3/13/2023,Home,10,40.59,0,4,0,Referral,USA,328.3,2.61,11,428.62,1,408.51,,11,,405.9,0,408.51
INV108326,CUST1421,3/13/2023,Electronics,2,72.99,5,3,1,Email,UK,144.7,20.28,2,0,2,158.96,,9.299,,145.98,7.299,158.96
INV102706,CUST1039,3/13/2023,Sports,12,38.08,0,4,0,Ads,UK,341.2,7.7,14,332.72,1,464.66,,14,,456.96,0,464.66
INV100770,CUST1293,3/13/2023,Clothing,12,33.1,18.5,4,0,Referral,USA,419.3,14.23,13,254.2,2,337.95,,86.482,,397.2,73.482,337.95
INV101646,CUST1082,3/14/2023,Clothing,6,24.04,0,4,0,Organic,France,212.4,11.67,6,285.03,1,155.91,,6,,144.24,0,155.91
INV105654,CUST1866,3/14/2023,Clothing,7,40.65,34.7,3,0,Organic,France,212.2,0,7,341.92,2,185.81,,105.73885,,284.55,98.73885,185.81
INV104985,CUST1169,3/14/2023,Clothing,5,38.22,26,,0,Organic,UK,97.3,17.79,8,255.57,3,159.2,,57.686,,191.1,49.686,159.20
INV105531,CUST1939,3/14/2023,Sports,3,25.75,17.2,,1,Email,USA,219.3,11.72,3,0,3,75.68,,16.287,,77.25,13.287,75.68
INV100539,CUST1159,3/14/2023,Electronics,7,97.11,0,4,1,Organic,USA,460.8,12.77,9,0,4,692.54,,9,,679.77,0,692.54
INV106761,CUST1942,3/14/2023,Beauty,6,28.24,25.8,5,0,Ads,USA,122.5,9.32,9,348.14,5,135.04,,52.71552,,169.44,43.71552,135.04
INV101710,CUST1699,3/14/2023,Electronics,8,106.52,51.4,1,0,Organic,USA,204.8,9.47,9,364.95,1,423.62,,447.01024,,852.16,438.01024,423.62
INV102551,CUST1095,3/14/2023,Clothing,11,27.33,0,3,0,Email,Australia,271.1,6.98,12,441.8,3,307.61,,12,,300.63,0,307.61
INV107503,CUST1981,3/14/2023,Clothing,12,28.61,0,4,0,Email,Canada,457.9,1.47,13,421.39,4,344.79,,13,,343.32,0,344.79
INV108747,CUST1750,3/14/2023,Home,9,34.85,0,3,0,Ads,USA,326.1,0,10,252.12,6,313.65,,10,,313.65,0,313.65
INV100801,CUST1974,3/14/2023,Beauty,9,34.01,30.4,1,0,Email,Germany,388.3,7.29,12,216.34,3,220.33,,,,,,
INV105777,CUST1971,3/14/2023,Home,8,61.11,26,4,0,Social,USA,247.6,15.95,11,218.92,1,377.72,,,,,,
INV106262,CUST1662,3/14/2023,Home,10,88.23,54.3,5,0,Email,USA,327,6.76,10,407.79,3,409.97,,,,,,
INV105688,CUST1555,3/14/2023,Electronics,25,199.22,0,4,1,Organic,USA,327.2,15.16,6,0,3,4995.66,,,,,,
INV100294,CUST1665,3/14/2023,Clothing,10,35.17,18.5,4,0,Social,Canada,273.8,15.46,12,330.44,2,302.1,,,,,,
INV102043,CUST1226,3/14/2023,Clothing,10,31.38,30.8,5,0,nan,Canada,283.5,14.46,11,281.24,1,231.61,,,,,,
INV107043,CUST1555,3/14/2023,Clothing,13,29.23,0,5,0,Email,Germany,465.9,16.59,15,454.97,2,396.58,,,,,,
INV103545,CUST1328,3/14/2023,Home,5,42.42,0,4,1,Organic,USA,309.8,9.91,8,0,4,222.01,,,,,,
INV101684,CUST1306,3/15/2023,Home,7,73.35,49.6,4,0,Organic,USA,246.6,19.2,10,390.87,3,277.98,,,,,,
INV103645,CUST1267,3/15/2023,Home,7,48.78,26.9,,0,Email,Canada,178.8,10.53,7,343.68,1,260.14,,,,,,
INV100005,CUST1250,3/15/2023,Clothing,14,63.01,48.3,2,0,Ads,Germany,509.1,17.77,15,383.16,3,473.84,,,,,,
INV100454,CUST1691,3/15/2023,Electronics,11,110.76,0,4,0,nan,USA,481.6,12.88,11,304.4,4,1231.24,,,,,,
INV100576,CUST1574,3/15/2023,Electronics,10,84.45,0,1,0,Organic,Germany,310.3,19.2,11,226.31,3,863.7,,,,,,
INV101297,CUST1121,3/15/2023,Clothing,10,30.36,0,1,0,nan,France,304.2,2.35,11,278.1,4,305.95,,,,,,
INV104800,CUST1304,3/15/2023,Electronics,5,140.04,34.7,2,1,Referral,Australia,260.6,6.92,5,0,3,464.15,,,,,,
INV105089,CUST1797,3/15/2023,Electronics,7,94.26,0,3,0,Referral,Germany,270.8,21.05,11,148.06,2,680.87,,,,,,
INV105801,CUST1339,3/15/2023,Clothing,9,25.73,8.2,4,1,Referral,Australia,442.7,15.58,9,0,1,228.16,,,,,,
INV100604,CUST1366,3/15/2023,Home,9,38.14,0,,0,Email,UK,368.1,14.35,9,158.35,4,357.61,,,,,,
INV100004,CUST1281,3/15/2023,Clothing,3,21.76,8.1,4,0,Ads,USA,30,12.17,3,290.21,1,72.16,,,,,,
INV101252,CUST1997,3/15/2023,Home,9,65.41,26.2,3,1,Organic,France,513.7,23.44,10,0,3,457.89,,,,,,
INV100809,CUST1150,3/15/2023,Clothing,6,25.9,0,,1,Email,USA,312.1,7.26,7,0,1,162.66,,,,,,
INV100152,CUST1469,3/15/2023,Electronics,8,73.73,0,5,0,Ads,UK,371.7,7.76,8,310.28,4,597.6,,,,,,
INV103554,CUST1237,3/15/2023,Electronics,9,133.07,49.9,2,0,Referral,France,244.7,5.57,10,494.23,1,605.58,,,,,,
INV107917,CUST1259,3/15/2023,Clothing,10,38.27,26.7,,0,Email,Australia,468.6,10.02,13,272.39,2,290.54,,,,,,
INV104202,CUST1084,3/15/2023,Home,9,56.67,30.2,2,1,Referral,France,354.2,8.9,11,0,2,364.9,,,,,,
INV105514,CUST1063,3/15/2023,Sports,4,24.29,0,4,1,Organic,USA,140,8.82,5,0,2,105.98,,,,,,
INV107374,CUST1805,3/15/2023,Clothing,7,32.17,0,3,0,Email,Germany,396.3,9.33,9,290.23,5,234.52,,,,,,
INV103551,CUST1091,3/15/2023,Clothing,10,20.77,0,2,0,Email,France,372.7,9.75,11,301.5,3,217.45,,,,,,
INV101585,CUST1955,3/15/2023,Clothing,7,36.49,33.1,,1,Ads,France,419.2,6.9,8,0,3,177.78,,,,,,
INV107282,CUST1044,3/15/2023,Electronics,9,89.81,0,2,0,Organic,UK,194.7,9.43,10,419.85,3,817.72,,,,,,
INV100644,CUST1254,3/16/2023,Home,6,38.49,0,3,0,Email,Germany,166.1,7.19,6,271.86,1,238.13,,,,,,
INV106988,CUST1903,3/16/2023,Toys,5,19.03,24.5,3,0,Organic,USA,207.6,21.16,5,121.85,3,93,,,,,,
INV102599,CUST1828,3/16/2023,Home,6,62.59,44.3,3,0,Email,Germany,142.3,8.48,6,301.28,2,217.66,,,,,,
INV100429,CUST1059,3/16/2023,Sports,6,50.22,40.9,3,0,Organic,Germany,221.4,12.16,6,269.4,2,190.24,,,,,,
INV104118,CUST1724,3/16/2023,Electronics,6,100.55,25.3,,1,Ads,USA,221.1,5.43,7,0,1,456.1,,,,,,
INV106519,CUST1066,3/16/2023,Toys,9,17.08,0,,0,Organic,Germany,278.9,5.51,9,418.05,2,159.23,,,,,,
INV103769,CUST1223,3/16/2023,Sports,7,27.79,0,4,0,Organic,USA,284,2.58,8,348.84,2,197.11,,,,,,
INV107141,CUST1891,3/16/2023,Clothing,8,43.89,44.9,4,0,Email,UK,339.2,9.53,8,327.07,4,203,,,,,,
INV102219,CUST1071,3/16/2023,Clothing,5,26.49,14.9,4,1,nan,USA,281.5,4.82,5,0,4,117.53,,,,,,
INV102102,CUST1738,3/16/2023,Sports,10,61.51,48.6,5,0,Referral,USA,262,12.02,10,482.23,3,328.18,,,,,,
INV101434,CUST1284,3/16/2023,Clothing,8,56.94,50.6,,0,Social,UK,257.7,13.8,10,355.19,4,238.83,,,,,,
INV107731,CUST1040,3/16/2023,Home,10,40.02,0,4,0,Referral,USA,,2.12,10,230.66,5,402.32,,,,,,
INV103077,CUST1655,3/16/2023,Clothing,8,37.58,23,4,0,Organic,France,431.4,0.44,8,194.92,3,231.93,,,,,,
INV106016,CUST1819,3/16/2023,Electronics,3,67.09,0,4,1,Ads,USA,242.6,9.63,4,0,2,210.9,,,,,,
INV102439,CUST1875,3/16/2023,Clothing,6,31.78,11.1,3,0,Email,Germany,165.5,6.39,9,180.01,4,175.9,,,,,,
INV106946,CUST1857,3/16/2023,Beauty,6,22.65,6.6,,0,Social,UK,235.4,8.36,9,157.6,6,135.29,,,,,,
INV106189,CUST1205,3/16/2023,Sports,11,35.99,0,1,0,nan,USA,399.9,9.54,12,325.34,4,405.43,,,,,,
INV100832,CUST1704,3/16/2023,Electronics,10,87.2,0,3,0,Referral,France,316.4,5.04,10,418.2,2,877.04,,,,,,
INV101417,CUST1601,3/16/2023,Clothing,9,29.07,0,4,0,Email,Australia,195.6,15.47,11,407.45,4,277.1,,,,,,
INV109479,CUST1437,3/16/2023,Electronics,11,68.1,0,4,0,Organic,USA,300.5,13.74,15,387.86,2,762.84,,,,,,
INV101161,CUST1816,3/16/2023,Electronics,9,147.39,34.6,5,0,Referral,Australia,372.9,8.72,9,220.63,6,876.26,,,,,,
INV100930,CUST1598,3/16/2023,Electronics,8,91.42,0,,0,Organic,UK,357.9,14.62,8,103.99,3,745.98,,,,,,
INV108140,CUST1952,3/16/2023,Clothing,7,49.19,52.7,3,0,nan,Germany,228.7,10.03,7,313.2,2,172.9,,,,,,
INV105164,CUST1084,3/16/2023,Electronics,10,94.81,18.7,,0,Social,France,296.3,5.42,11,395.91,1,776.23,,,,,,
INV106041,CUST1151,3/16/2023,Clothing,9,45.32,33.8,3,0,Ads,USA,304.3,5.94,9,303.34,2,275.96,,,,,,
INV105723,CUST1792,3/16/2023,Toys,5,37.57,49.9,,0,Email,Canada,155.8,7.45,6,340.88,4,101.56,,,,,,
INV107999,CUST1034,3/17/2023,Sports,8,51.92,37,2,0,Referral,Australia,180,20.01,9,456.26,3,281.69,,,,,,
INV104643,CUST1721,3/17/2023,Clothing,11,26.55,0,3,0,Email,USA,298.2,8.06,11,349.38,6,300.11,,,,,,
INV105029,CUST1376,3/17/2023,Clothing,9,47.64,21.3,3,0,Ads,USA,452.9,13.07,11,233.09,5,350.5,,,,,,
INV103896,CUST1328,3/17/2023,Clothing,7,35.91,26.1,,1,Ads,UK,447,14.31,7,0,4,200.07,,,,,,
INV102355,CUST1317,3/17/2023,Electronics,7,179.61,52.8,3,0,Organic,USA,210.7,0,7,162.73,3,593.43,,,,,,
INV105327,CUST1476,3/17/2023,Home,10,58.62,40.2,,0,Email,UK,297.6,10.31,11,254.35,4,360.86,,,,,,
INV105977,CUST1099,3/17/2023,Clothing,8,35.94,54.2,4,0,Email,Germany,136.3,3.57,8,465.4,3,135.25,,,,,,
INV103681,CUST1938,3/17/2023,Electronics,10,63.89,12.5,4,1,Organic,USA,531.9,0,10,0,3,559.04,,,,,,
INV100090,CUST1887,3/17/2023,Clothing,10,32.05,13.1,4,0,Organic,USA,453.8,12.53,12,264.91,2,291.04,,,,,,
INV107750,CUST1745,3/17/2023,Electronics,10,85.79,0,,0,Organic,USA,381.1,12.11,11,346.36,2,870.01,,,,,,
INV104004,CUST1759,3/17/2023,Electronics,8,115.94,29.9,3,0,Organic,Germany,380.2,15.15,11,207.8,2,665.34,,,,,,
INV105856,CUST1230,3/17/2023,Home,2,53.69,28.6,,1,Social,France,105.2,0.99,2,0,1,77.66,,,,,,
INV106933,CUST1220,3/17/2023,Clothing,9,38.91,49.3,5,0,Organic,Germany,255.8,8.98,9,346.81,4,186.53,,,,,,
INV108676,CUST1259,3/17/2023,Clothing,6,55.93,45,4,1,Email,USA,252.7,5.05,8,0,4,189.62,,,,,,
INV104399,CUST1507,3/17/2023,Electronics,5,115.81,16.9,3,1,Ads,USA,228.1,18.91,5,0,5,500.1,,,,,,
INV101067,CUST1929,3/17/2023,Clothing,8,29.65,0,3,0,Referral,UK,259.7,9.07,11,279.49,3,246.27,,,,,,
INV102036,CUST1796,3/18/2023,Sports,5,25.31,0,5,0,Organic,USA,97.1,4.37,8,359.03,1,130.92,,,,,,
INV100676,CUST1791,3/18/2023,Beauty,55,50.14,0,4,0,Organic,USA,313.6,10.4,12,438.12,3,2768.1,,,,,,
INV108679,CUST1305,3/18/2023,Clothing,5,24.16,0,3,0,Ads,UK,30,12.5,6,269.1,4,133.3,,,,,,
INV100772,CUST1440,3/18/2023,Toys,11,32.52,45.1,4,0,Ads,France,253.8,11.59,11,370.54,3,207.98,,,,,,
INV101246,CUST1014,3/18/2023,Sports,9,30.66,0,2,0,Organic,USA,381,0,10,169.92,3,275.94,,,,,,
INV109452,CUST1782,3/18/2023,Sports,6,34.13,8.1,4,1,Organic,UK,429.1,8.2,6,0,4,196.39,,,,,,
INV100634,CUST1946,3/18/2023,Electronics,9,91.32,29.5,,0,Email,USA,286.1,0,9,388.61,3,579.43,,,,,,
INV105796,CUST1579,3/18/2023,Sports,6,55.19,38.3,1,1,Social,Germany,367.8,2.54,6,0,2,206.85,,,,,,
INV107201,CUST1308,3/18/2023,Electronics,9,72.18,0,,0,Organic,USA,301.3,11.08,9,375.03,2,660.7,,,,,,
INV106669,CUST1270,3/18/2023,Home,8,55.08,49.1,2,0,Referral,UK,211,7.96,11,318.13,1,232.25,,,,,,
INV101790,CUST1256,3/18/2023,Home,10,53.12,0,1,0,Email,Germany,226.1,10.48,13,441.07,2,541.68,,,,,,
INV101321,CUST1983,3/19/2023,Electronics,6,77.36,0,4,1,Referral,USA,189.7,16.32,9,0,2,480.48,,,,,,
INV100206,CUST1348,3/19/2023,Electronics,11,141.84,27.7,,0,Organic,Canada,465.9,10.08,11,302.33,6,1138.13,,,,,,
INV101993,CUST1832,3/19/2023,Beauty,8,37.94,41.4,,1,Email,USA,425,4.04,10,0,3,181.9,,,,,,
INV104587,CUST1533,3/19/2023,Clothing,3,31.7,20.1,3,0,Organic,USA,219.4,0,6,150,4,75.98,,,,,,
INV102154,CUST1768,3/19/2023,Sports,11,40.8,6.3,4,0,Email,Germany,422.4,2.36,11,473.11,2,422.89,,,,,,
INV104790,CUST1451,3/19/2023,Beauty,10,41.97,37.5,,0,Referral,Germany,418.6,13.79,12,303.41,5,276.1,,,,,,
INV100883,CUST1460,3/19/2023,Sports,9,33.95,0,,0,Referral,Germany,316.2,9.85,9,262.49,2,315.4,,,,,,
INV100655,CUST1227,3/19/2023,Clothing,6,26.14,5.1,3,0,Ads,UK,140,10.11,8,297.74,2,158.95,,,,,,
INV102478,CUST1253,3/19/2023,Clothing,8,24.57,0,4,1,Referral,Australia,408.6,14.56,10,0,2,211.12,,,,,,
INV104686,CUST1819,3/19/2023,Clothing,9,38.3,23.1,2,0,Social,USA,249.2,6.39,9,293.21,5,271.46,,,,,,
INV103180,CUST1348,3/19/2023,Home,11,75.07,46.2,4,0,Organic,France,270.5,0.31,12,514.12,2,444.57,,,,,,
INV100919,CUST1338,3/19/2023,Home,6,35.39,0,,1,Organic,Canada,379.9,11.52,8,0,3,223.86,,,,,,
INV101387,CUST1449,3/19/2023,Clothing,10,37.32,15.3,4,0,Email,USA,345.1,9.77,12,323.39,3,325.87,,,,,,
INV108613,CUST1380,3/19/2023,Clothing,8,41.14,33.2,2,1,nan,Australia,318.4,12.05,8,0,2,231.9,,,,,,
INV103343,CUST1486,3/19/2023,Electronics,11,85.27,0,4,0,Social,USA,443.8,13.72,11,296.78,2,951.69,,,,,,
INV103461,CUST1357,3/20/2023,Electronics,8,114.92,9.2,2,1,Ads,USA,481.9,15.28,9,0,4,850.06,,,,,,
INV102945,CUST1660,3/20/2023,Electronics,7,73.02,0,3,1,Social,Canada,,0,7,0,4,511.14,,,,,,
INV103673,CUST1916,3/20/2023,Beauty,9,38.92,39.6,3,0,Social,USA,336.6,6.95,10,260.97,7,218.52,,,,,,
INV102013,CUST1887,3/20/2023,Clothing,8,33.06,7.9,,0,Organic,USA,273.5,7.24,8,308.11,2,250.83,,,,,,
INV101411,CUST1234,3/20/2023,Home,10,47.66,0,5,0,Email,USA,413.5,13.14,11,340.91,2,489.74,,,,,,
INV106211,CUST1247,3/20/2023,Sports,9,46.68,32.3,4,0,Referral,UK,373.9,7.46,13,286.9,3,291.88,,,,,,
INV107935,CUST1972,3/20/2023,Clothing,11,44.18,23.9,2,0,Email,USA,338.2,12.84,11,395.56,2,382.67,,,,,,
INV104825,CUST1438,3/20/2023,Sports,7,40.25,40.8,4,0,Ads,USA,,10.89,7,218.96,3,177.69,,,,,,
INV100590,CUST1565,3/20/2023,Electronics,4,90.05,31.6,1,0,Email,Australia,121.3,11.95,5,90.89,1,258.33,,,,,,
INV105999,CUST1958,3/20/2023,Sports,10,54.63,30.9,4,0,Organic,USA,272.1,12.12,11,387.38,4,389.61,,,,,,
INV104296,CUST1802,3/20/2023,Toys,8,15.53,0,3,0,nan,USA,193.4,13.85,9,309.02,4,138.09,,,,,,
INV104735,CUST1496,3/20/2023,Toys,9,25.98,46.5,4,0,Email,USA,219.4,11.1,11,349.78,1,136.19,,,,,,
INV107622,CUST1499,3/21/2023,Electronics,2,112.75,29.1,4,1,Email,UK,76.4,6.78,4,0,5,166.66,,,,,,
INV107222,CUST1549,3/21/2023,Home,11,42.02,0,2,0,Email,Australia,356.3,10.37,11,306.01,1,472.59,,,,,,
INV109413,CUST1189,3/21/2023,Home,7,55.67,12,3,0,Organic,France,275.4,10,7,201.52,4,352.93,,,,,,
INV107583,CUST1297,3/21/2023,Sports,8,54.22,19.6,5,0,Organic,USA,311.8,12.41,9,313.15,3,361.15,,,,,,
INV108504,CUST1535,3/21/2023,Sports,5,35.63,0,1,1,Ads,UK,293.6,6.4,5,0,2,184.55,,,,,,
INV107490,CUST1461,3/21/2023,Electronics,11,84.13,0,,0,Organic,USA,474.3,10.57,14,301.08,2,936,,,,,,
INV100694,CUST1985,3/21/2023,Electronics,9,185.04,54.6,4,0,Referral,France,283.4,7.6,9,385.52,3,763.67,,,,,,
INV103480,CUST1823,3/21/2023,Electronics,7,86.59,0,,0,nan,USA,193.7,9.39,10,225.84,3,615.52,,,,,,
INV101275,CUST1258,3/21/2023,Electronics,9,160.13,49.6,3,0,Email,USA,326.5,4.87,11,329.29,1,731.22,,,,,,
INV108928,CUST1469,3/21/2023,Clothing,7,27.75,0,,1,Email,USA,378.7,20.7,8,0,2,214.95,,,,,,
INV102483,CUST1535,3/21/2023,Electronics,10,90.9,18.9,4,0,Organic,Canada,318.5,8.26,10,303.38,6,745.46,,,,,,
INV100546,CUST1208,3/21/2023,Electronics,5,115.83,34,2,1,Email,Germany,234.9,3.48,6,0,6,385.72,,,,,,
INV109305,CUST1282,3/21/2023,Beauty,7,26.88,0,4,1,Organic,USA,406.9,6.22,7,0,4,194.38,,,,,,
INV101991,CUST1600,3/21/2023,Clothing,12,143.72,47,4,0,Organic,USA,30,11.43,4,314.25,3,925.49,,,,,,
INV105902,CUST1419,3/21/2023,Beauty,6,29.49,7.8,,1,Email,UK,379.5,8.98,6,0,3,172.12,,,,,,
INV101291,CUST1830,3/21/2023,Clothing,6,25.3,12.2,,1,Ads,USA,332.7,11.93,6,0,2,145.21,,,,,,
INV104260,CUST1398,3/21/2023,Electronics,8,67.63,0,3,0,Referral,Germany,271.6,9.34,8,371.6,2,550.38,,,,,,
INV104847,CUST1273,3/21/2023,Clothing,11,27.69,0,3,0,Email,USA,538.3,4.01,15,232.55,3,308.6,,,,,,
INV102996,CUST1873,3/21/2023,Home,10,46.67,17.4,,0,Ads,USA,301,12.67,11,315.83,3,398.16,,,,,,
INV105719,CUST1600,3/21/2023,Clothing,8,35.03,38.7,4,0,Email,UK,174.3,6.97,9,309.35,1,178.76,,,,,,
INV109085,CUST1326,3/22/2023,Electronics,10,90.75,0,1,0,Social,Germany,269.2,8.67,11,450.85,3,916.17,,,,,,
INV101535,CUST1425,3/22/2023,Sports,6,37.6,0,3,0,Ads,USA,192.5,11.34,6,194.37,5,236.94,,,,,,
INV102537,CUST1385,3/22/2023,Sports,5,51.35,32.6,5,0,Referral,Germany,182.2,9.17,6,231.11,4,182.22,,,,,,
INV106290,CUST1844,3/22/2023,Beauty,5,28.75,28.2,4,1,Email,USA,272.7,11.43,5,0,5,114.64,,,,,,
INV100318,CUST1927,3/22/2023,Clothing,7,23.36,0,1,0,Organic,USA,250.1,13.47,8,221.69,2,176.99,,,,,,
